id,genre,taille,age,masse,tour_hanche,tour_taille,tour_poignet
78_04,h,1.82,19,58,0.93,0.73,0.16
77_03,h,1.72,51,88.5,1.13,1.07,0.25
77_04,h,1.7,19,56.5,0.87,0.8,0.16
77_05,f,1.65,31,69,1.03,0.85,0.16
78_05,h,1.44,11,33,0.77,0.64,0.14
67_09,f,1.55,58,67,1.06,0.95,0.17
32_01,f,1.66,19,53.5,0.82,0.69,0.15
67_10,h,1.7,76,68,1,1,0.19
32_02,f,1.67,46,66,0.95,0.85,0.15
32_03,h,1.74,47,73.5,0.98,0.85,0.18
32_04,h,1.58,23,65.5,0.95,0.78,0.15
32_05,h,1.7,12,46,0.8,0.7,0.1
32_06,f,1.58,19,64,1.05,0.79,0.15
16_01,f,1.65,21,53,0.83,0.7,0.15
16_02,f,1.57,29,73.5,1.05,0.91,0.16
16_03,f,1.55,49,79.5,1.06,1.07,0.17
16_04,h,1.77,23,77.5,0.93,0.98,0.16
16_05,f,1.6,42,82.5,1.2,0.96,0.18
27_01,h,1.78,16,79,1.06,0.84,0.18
27_02,h,1.8,18,79,1.06,0.83,0.18
27_03,h,1.64,70,65,0.94,0.91,0.18
27_04,f,1.67,32,61,1.06,0.77,0.16
27_05,f,1.75,28,71,1.05,0.8,0.17
20_01,f,1.57,19,57,0.85,0.77,0.18
20_02,f,1.65,56,57,0.79,0.74,0.16
20_03,h,1.8,29,79,0.96,0.9,0.17
48_04,h,1.77,17,65.5,0.8,0.73,0.17
48_05,f,1.63,47,63.5,1.01,0.87,0.15
19_01,f,1.68,91,37,0.8,0.6,0.1
19_02,f,1.58,62,85,1.21,1.01,0.17
19_03,h,1.77,59,69,0.95,0.82,0.16
19_04,f,1.59,20,62,0.92,0.74,0.15
19_05,f,1.67,19,67,1.03,0.9,0.17
21_01,h,1.63,18,60.5,0.76,0.74,0.16
21_02,f,1.62,45,65.5,0.93,0.92,0.15
21_03,h,1.77,19,62,0.78,0.7,0.17
21_04,f,1.69,18,71,0.93,0.83,0.16
21_05,f,1.55,47,58.5,0.94,0.8,0.16
21_06,h,1.67,46,66.5,0.95,0.9,0.16
20_04,f,1.7,31,88,1.11,1,0.19
20_05,f,1.58,15,65,1,0.72,0.2
19_06,f,1.62,31,49,0.87,0.63,0.14
66_01,h,1.75,19,64,0.89,0.8,0.158
66_02,f,1.6,16,57,0.82,0.71,0.149
66_03,f,1.68,20,67,0.92,0.84,0.158
66_04,f,1.64,44,69.5,1.02,0.85,0.157
66_05,h,1.85,45,108,1.12,1.07,0.189
20_06,f,1.68,48,95,1.2,1.15,0.19
24_01,h,1.76,24,62,0.96,0.76,0.16
24_02,h,1.75,23,65,0.98,0.79,0.17
24_03,h,1.71,14,58,0.89,0.74,0.17
24_04,f,1.6,62,68,1.03,0.89,0.16
24_05,h,1.84,61,94.5,1,1.03,0.18
43_02,h,1.87,45,105,1.1,1,0.19
43_03,f,1.7,47,87,1.2,1.08,0.16
43_04,h,1.65,13,41,0.8,0.74,0.15
43_05,f,1.7,15,53,0.92,0.7,0.15
18_01,h,1.85,20,100,1.02,1,0.19
18_02,f,1.67,48,67.5,1.03,0.8,0.15
18_03,h,1.78,68,72,0.88,0.84,0.18
18_04,f,1.63,17,50,0.8,0.66,0.16
18_05,f,1.7,19,69,1.01,0.83,0.17
54_01,h,1.72,47,93,1.1,1.06,0.19
54_03,f,1.69,22,75.5,0.96,0.87,0.16
54_04,h,1.96,21,95,1.02,0.8,0.19
54_05,h,1.81,42,99,1.03,1.04,0.18
54_06,h,1.75,41,81,1.05,0.95,0.16
34_1,h,1.63,19,67.5,0.99,0.82,0.156
34_2,f,1.58,49,66.5,1.02,0.9,0.146
34_3,h,1.72,51,72,0.97,0.92,0.166
34_4,h,1.82,43,97,1.05,1.13,0.177
34_5,h,1.73,14,51.5,0.81,0.67,0.149
22_1,h,1.71,21,74.5,0.88,0.9,0.21
22_2,f,1.72,20,62,0.9,0.82,0.19
22_3,h,1.7,79,85,0.92,1.21,0.22
22_4,h,1.72,54,60,0.87,0.86,0.22
22_5,f,1.83,49,80,0.98,0.98,0.17
"33_01
",h,1.56,19,63,0.31,0.4,0.15
33_02,f,1.62,20,66,1.3,1.22,0.11
33_03,h,1.6,24,65.5,0.98,0.9,0.182
33_04,h,1.7,24,73.5,0.67,0.68,0.15
33_05,f,1.71,27,69,0.87,0.84,0.14
63_01,h,1.73,21,68,0.95,0.86,0.15
63_02,f,1.62,20,48,1,0.68,0.14
63_03,h,1.65,24,55,0.89,0.84,0.14
63_04,f,1.55,41,58,1.07,0.88,0.14
63_05,h,1.63,45,75,0.83,0.92,0.17
75_01,h,1.84,19,89,0.98,0.88,0.182
75_02,h,1.9,56,92,1.05,0.92,0.194
75_03,f,1.62,56,59.5,0.91,0.8,0.143
75_04,f,1.69,31,66,0.96,0.84,0.148
75_05,f,1.81,28,90.5,0.99,0.88,0.188
30_02,h,1.7,26,101.5,1.05,1.08,0.21
30_03,h,1.41,10,40,0.74,0.71,0.17
30_04,f,1.41,10,50,0.92,0.89,0.19
30_05,f,1.27,7,32.5,0.74,0.71,0.15
30_06,f,1.65,28,52,0.78,0.7,0.17
30_07,h,1.74,28,76,0.87,0.82,0.18
30_08,h,1.74,19,76,0.92,0.85,0.18
30_09,h,1.83,22,87,0.86,0.83,0.19
15_01,f,1.59,58,54.5,0.87,0.75,0.15
